time	first_open	app_remove	session_start	app_open	login	view_exercise	health_survey	view_roadmap	practice_with_video	practice_with_ai	chat_ai	show_popup	view_detail_popup	close_popup	store_subscription	in_app_purchase	avg_engage_time
20250820	3	1	13	4	0	8	3	3	3	3	3	0	0	0	0	0	2894
20250821	1	1	12	10	4	5	0	0	0	1	2	1	1	1	1	0	6896
20250822	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0
20250823	1	1	5	2	0	1	0	0	1	0	0	0	0	0	0	0	168
20250824	0	0	6	4	0	4	0	1	2	1	1	0	0	0	0	0	543
20250825	1	1	9	6	1	4	0	0	0	0	3	0	0	0	1	0	107
20250826	3	3	13	6	4	5	2	0	2	0	1	0	0	0	3	0	3969
20250827	7	4	13	9	4	6	1	4	2	3	3	0	0	0	2	0	3581
20250828	11	2	21	15	7	16	2	4	5	1	6	0	0	0	0	0	3857
20250829	4	4	15	8	5	7	1	1	7	2	5	9	2	9	3	0	2857
20250830	0	1	6	4	1	2	0	0	0	0	0	4	1	2	2	0	357
20250831	1	0	6	4	0	3	1	1	2	2	1	6	0	3	0	0	218
20250901	3	0	10	5	5	3	2	2	3	1	1	6	0	4	2	0	518
20250902	0	1	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0
20250903	1	0	6	2	0	1	0	0	0	0	0	5	0	1	1	0	98
20250904	1	0	12	6	2	2	1	1	0	0	4	9	1	6	2	0	1301
20250905	1	0	12	6	1	5	1	1	2	0	4	9	0	7	2	0	560
20250906	0	1	6	5	0	1	0	0	0	0	0	0	0	0	0	0	24
20250907	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	29
20250908	6	4	15	8	2	1	1	1	0	0	0	0	0	0	0	0	189
20250909	1	1	11	6	1	4	1	0	0	0	2	0	0	0	0	0	132
20250910	4	0	7	6	3	4	1	0	1	1	2	0	0	0	1	0	229
20250911	1	2	11	5	1	1	0	0	0	0	1	0	0	0	1	0	2036
20250912	4	3	16	12	6	4	0	1	0	0	6	0	0	0	2	0	1237
20250913	3	0	9	5	0	4	0	0	2	0	0	0	0	0	0	0	113
20250914	0	0	7	4	0	1	1	1	0	0	0	0	0	0	0	0	321
20250915	0	0	6	4	0	1	0	0	0	0	0	0	0	0	0	0	851
20250916	0	0	4	4	1	1	0	0	0	0	0	0	0	0	0	0	15
20250917	0	0	6	4	0	1	1	0	1	0	0	0	0	0	0	0	1262
20250918	3	1	7	5	1	0	0	0	0	0	0	0	0	0	0	0	330
20250919	1	0	8	6	2	4	0	3	0	1	1	0	0	0	1	0	429
20250920	0	0	7	8	0	2	1	0	1	0	0	0	0	0	0	0	782
20250921	3	0	10	5	0	1	0	1	0	0	0	0	0	0	0	0	64
20250922	0	0	4	4	0	2	0	1	1	1	1	0	0	0	0	0	690
20250923	1	0	9	5	1	3	0	1	2	2	0	0	0	0	1	0	656
20250924	0	1	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1977
20250925	2	3	6	1	0	0	0	0	1	0	0	0	0	0	0	0	879
20250926	2	1	6	4	3	5	0	0	3	1	2	0	0	0	2	0	842
20250927	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20250928	0	0	3	2	0	2	0	1	1	2	0	0	0	0	0	0	1143
20250929	2	1	11	6	2	5	4	4	4	2	5	0	0	0	4	0	357
20250930	2	0	10	5	1	5	0	1	2	1	2	0	0	0	2	0	607
20251001	0	1	8	4	0	3	0	0	3	1	0	0	0	0	0	0	912
20251002	1	1	7	2	0	2	0	0	1	0	1	0	0	0	0	0	459
20251003	3	0	20	11	2	8	2	0	2	3	1	0	0	0	3	0	971
20251004	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
20251005	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	24
20251006	1	1	6	6	0	1	0	0	1	0	0	0	0	0	0	0	0
20251007	1	1	8	5	0	1	0	0	0	0	2	0	0	0	0	0	210
20251008	2	0	6	4	0	2	0	0	2	0	0	0	0	0	0	0	786
20251009	0	0	6	5	2	3	1	1	0	2	2	0	0	0	0	0	920
20251010	1	1	10	9	2	6	2	4	2	3	3	0	0	0	2	0	563
20251011	0	0	6	5	0	1	0	1	0	1	1	0	0	0	0	0	1502
20251012	1	0	9	4	0	1	0	1	1	1	1	0	0	0	0	0	139
20251013	3	2	8	4	0	4	0	0	0	3	0	0	0	0	0	0	528
20251014	0	1	5	3	1	1	0	0	1	0	0	0	0	0	0	0	107
20251015	4	1	9	4	0	2	1	0	2	0	0	0	0	0	0	0	180
20251016	0	0	6	5	1	4	1	1	2	1	1	0	0	0	0	0	711
20251017	1	1	9	6	3	2	1	0	1	0	3	0	0	0	2	0	554
20251018	0	0	6	5	0	2	0	1	1	1	0	0	0	0	0	0	0
20251019	0	0	5	4	0	3	0	1	2	0	2	0	0	0	0	0	313
20251020	1	1	7	3	0	2	0	0	0	0	1	0	0	0	0	0	958
20251021	3	0	8	2	1	8	0	0	3	2	1	0	0	0	1	0	752
